frame,Happy,Sad,Surprise,Angry,Disgust
0,0.86,0.03,0.00,0.77,0.87
1,0.86,0.02,0.00,0.88,0.82
2,0.78,0.03,0.00,0.90,0.87
3,0.65,0.05,0.00,0.91,0.84
4,0.94,0.04,0.00,0.74,0.80
5,0.90,0.02,0.00,0.84,0.88
6,0.90,0.02,0.00,0.89,0.82
7,0.80,0.02,0.00,0.91,0.87
8,0.86,0.03,0.00,0.91,0.79
9,0.90,0.03,0.00,0.90,0.85
10,0.91,0.03,0.00,0.65,0.90
11,0.74,0.06,0.01,0.81,0.83
12,0.84,0.14,0.01,0.70,0.73
13,0.86,0.06,0.00,0.61,0.82
14,0.64,0.02,0.00,0.69,0.92
15,0.68,0.06,0.00,0.86,0.91
16,0.77,0.06,0.00,0.82,0.94
17,0.83,0.06,0.01,0.83,0.82
18,0.83,0.05,0.00,0.75,0.87
19,0.70,0.04,0.00,0.76,0.93
20,0.88,0.03,0.00,0.86,0.77
21,0.72,0.06,0.01,0.78,0.87
22,0.94,0.03,0.00,0.84,0.70
23,0.86,0.04,0.01,0.81,0.84
24,0.90,0.03,0.00,0.90,0.80
25,0.91,0.04,0.00,0.87,0.78
26,0.80,0.05,0.00,0.87,0.84
27,0.87,0.08,0.00,0.80,0.71
28,0.91,0.04,0.00,0.81,0.77
29,0.84,0.05,0.00,0.91,0.85
30,0.87,0.02,0.00,0.77,0.90
31,0.85,0.02,0.00,0.79,0.92
32,0.89,0.04,0.00,0.82,0.87
33,0.93,0.02,0.00,0.80,0.78
34,0.88,0.05,0.00,0.83,0.81
35,0.84,0.07,0.00,0.80,0.83
36,0.90,0.08,0.00,0.90,0.81
37,0.92,0.05,0.01,0.76,0.74
38,0.77,0.02,0.00,0.77,0.95
39,0.81,0.04,0.00,0.80,0.88
40,0.82,0.10,0.01,0.85,0.82
41,0.87,0.05,0.01,0.79,0.73
42,0.88,0.04,0.01,0.65,0.68
43,0.88,0.03,0.00,0.82,0.73
44,0.88,0.05,0.01,0.81,0.77
45,0.90,0.02,0.00,0.85,0.86
46,0.80,0.02,0.00,0.87,0.89
47,0.80,0.05,0.00,0.90,0.86
48,0.90,0.02,0.00,0.88,0.77
49,0.90,0.01,0.00,0.90,0.90
50,0.90,0.05,0.00,0.80,0.80
51,0.94,0.03,0.01,0.62,0.67
52,0.92,0.02,0.00,0.80,0.90
53,0.91,0.08,0.01,0.70,0.58
54,0.95,0.02,0.00,0.86,0.77
55,0.88,0.07,0.00,0.84,0.83
56,0.87,0.06,0.00,0.79,0.80
57,0.84,0.04,0.00,0.79,0.84
58,0.82,0.03,0.00,0.86,0.88
59,0.80,0.09,0.00,0.87,0.80
60,0.88,0.04,0.01,0.84,0.87
61,0.94,0.09,0.01,0.67,0.71
62,0.96,0.04,0.01,0.71,0.68
63,0.91,0.04,0.00,0.77,0.93
64,0.87,0.05,0.00,0.79,0.82
65,0.79,0.10,0.00,0.81,0.89
66,0.92,0.05,0.01,0.58,0.88
67,0.85,0.07,0.00,0.74,0.89
68,0.88,0.05,0.00,0.76,0.87
69,0.81,0.05,0.00,0.77,0.81
70,0.92,0.02,0.00,0.74,0.90
71,0.97,0.02,0.01,0.54,0.67
72,0.82,0.05,0.00,0.84,0.94
73,0.88,0.05,0.00,0.83,0.91
74,0.92,0.04,0.00,0.74,0.87
75,0.92,0.02,0.00,0.68,0.84
76,0.83,0.02,0.00,0.77,0.92
77,0.89,0.02,0.00,0.78,0.89
78,0.74,0.06,0.00,0.78,0.91
79,0.74,0.08,0.00,0.84,0.88
80,0.81,0.05,0.00,0.85,0.91
81,0.73,0.09,0.01,0.74,0.84
82,0.64,0.09,0.00,0.88,0.91
83,0.86,0.07,0.01,0.71,0.85
84,0.91,0.05,0.00,0.74,0.89
85,0.85,0.05,0.01,0.60,0.87
86,0.73,0.14,0.00,0.78,0.88
87,0.73,0.08,0.01,0.79,0.86
88,0.86,0.07,0.00,0.82,0.84
89,0.86,0.05,0.01,0.70,0.79
90,0.93,0.07,0.01,0.71,0.72
91,0.81,0.05,0.01,0.69,0.82
92,0.68,0.09,0.00,0.77,0.68
93,0.76,0.05,0.00,0.80,0.84
94,0.91,0.07,0.01,0.81,0.63
95,0.72,0.04,0.00,0.86,0.86
96,0.70,0.06,0.00,0.88,0.88
97,0.45,0.04,0.00,0.96,0.89
